osm_id|name|category|type|lon|lat|alt_name|int_name|street|housenumber|postcode|city|country|phone|fax|email|website|opening_hours|description|image|last_update|operator|wikipedia|wkt
N1261824478|Ψησταριά|FOOD|RESTAURANT|19.8443654|39.7079704||||||||||||||||||POINT(19.8443654 39.7079704)
N1269159334|Aristea|ACCOMMODATION|HOTEL|19.8292847|39.690442||||||||||||||||||POINT(19.8292847 39.690442)
N1269193728|Το Πικάντικο|FOOD|CAFE|20.0727873|39.4233148||||||||||||||||||POINT(20.0727873 39.4233148)
N1269193731|Έσπερος Cafe|FOOD|CAFE|20.0712453|39.4107631||||||||||||||||||POINT(20.0712453 39.4107631)
N1269193741|Μικρό Cafe Espresso Bar|FOOD|CAFE|20.0624218|39.4234046||||||||||||||||||POINT(20.0624218 39.4234046)
N1269193744|Κύτταρο|FOOD|CAFE|20.0717863|39.4113908||||||||||||||||||POINT(20.0717863 39.4113908)
N1269247780|Diellas|SHOP|SUPERMARKET|20.0629415|39.4120387|||||||||||http://www.diellas.eu|||||||POINT(20.0629415 39.4120387)
N1269586724|Λιαπάδες|POI|VILLAGE|19.7403711|39.6691422||Liapades|||49083|||||||||||||POINT(19.7403711 39.6691422)
N1269623709|Κάτω Κορακιάνα|POI|VILLAGE|19.8291585|39.6895761|||||49083|||||||||||||POINT(19.8291585 39.6895761)
N1281649593|Κυρά Χρυσικού|POI|VILLAGE|19.8417227|39.6354734|||||49100|||||||||||||POINT(19.8417227 39.6354734)
N1282085210|Grammes|TRANSPORT|BUSSTOP|19.9184313|39.6215979||||||||||||||||Corfu City Bus S.A.||POINT(19.9184313 39.6215979)
N1282085223|Κεντρικό Ταχυδρομείο|AMENITY|POSTOFFICE|19.9190158|39.6200838|||||491 00|||||||||||||POINT(19.9190158 39.6200838)
N1306075133|Taverna Leonidas|FOOD|RESTAURANT|20.001782|39.4540332||||||Petriti|||||https://tavernapetriti.wordpress.com/|||||||POINT(20.001782 39.4540332)
N1313301549|Marias Snack Shack|FOOD|RESTAURANT|19.6746827|39.7203569||||||||||||||||||POINT(19.6746827 39.7203569)
N1317117640|Blue Graveyard ?|TOURIST|ATTRACTION|19.9252978|39.645682||||||||||||||||||POINT(19.9252978 39.645682)
N1317783440|Pub 007|FOOD|PUB|19.7018138|39.7082734||||||||||||||||||POINT(19.7018138 39.7082734)
N1321634206|Panagia ton Drómon|TOURIST|MEMORIAL|19.8388384|39.73931||||||||||||||||||POINT(19.8388384 39.73931)
N1330237335|grotto blue eye|TOURIST|ATTRACTION|19.7141487|39.6715198|||||||||||||Sea cave, accessible by local tour boats.|||||POINT(19.7141487 39.6715198)
N1335979596|Ποταμός|POI|VILLAGE|19.8784489|39.623429|||||49100|||||||||||||POINT(19.8784489 39.623429)
N1339597373|Bistro Boileau|FOOD|RESTAURANT|19.8503376|39.6460496||||||||||||||||||POINT(19.8503376 39.6460496)
N1351368491|Άγιος Ιωάννης|POI|VILLAGE|19.848293|39.615896|||||49100|||||||||||||POINT(19.848293 39.615896)
N1351370506|Μαντούκι|POI|VILLAGE|19.9067105|39.6250105||||||||||||||||||POINT(19.9067105 39.6250105)
N1351513713|Ανάληψη|POI|VILLAGE|19.9246052|39.6010399||||||||||||||||||POINT(19.9246052 39.6010399)
N1351514392|Κανόνι|POI|VILLAGE|19.9206569|39.597667||||||||||||||||||POINT(19.9206569 39.597667)
N1359121611|Taxiarchis Chapel|TOURIST|RUINS|19.8504375|39.7262884|||||||||||||Ruined chapel with extensive frescoes|||||POINT(19.8504375 39.7262884)
N1360312424|The Cricketer Taverna|FOOD|RESTAURANT|19.7310912|39.6723773||||||||+302663041115||info@liapadesbeachhotel.gr||||||||POINT(19.7310912 39.6723773)
N1360312436|Liapades Beach Hotel&Apartments|ACCOMMODATION|HOTEL|19.7313219|39.6722947||||||||+302663041115||liapadesbeach@gmail.com|http://www.liapadesbeachhotel.gr|||||||POINT(19.7313219 39.6722947)
N1360312594|Boulis Taverna|FOOD|CAFE|19.7105313|39.6810189||||||||||||||||||POINT(19.7105313 39.6810189)
N1360481402|Άγιος Μάρκος|POI|VILLAGE|19.8242565|39.710135|||||49083|||||||||||||POINT(19.8242565 39.710135)
N1361204536|Σιναράδες|FOOD|CAFE|19.8482242|39.5655224||||||||||||||||||POINT(19.8482242 39.5655224)
N1361204542|Καμάρα|POI|VILLAGE|19.8650497|39.5564407|||||49084|||||||||||||POINT(19.8650497 39.5564407)
N1361204557|Apxontapiki|FOOD|RESTAURANT|19.8486172|39.5657147||||||||||||||||||POINT(19.8486172 39.5657147)
N1361204562|Αλεποχώρι|POI|HAMLET|19.8724023|39.5567784|||||49084|||||||||||||POINT(19.8724023 39.5567784)
N1361205842|Aerostato|FOOD|RESTAURANT|19.8393422|39.5648214||||||||||||||||||POINT(19.8393422 39.5648214)
N1361209152|Άνω Παυλιάνα|POI|VILLAGE|19.8612375|39.5216285|||||49084|||||||||||||POINT(19.8612375 39.5216285)
N1361209153|Κάτω Παυλιάνα|POI|VILLAGE|19.8673763|39.5250474|||||49084|||||||||||||POINT(19.8673763 39.5250474)
N1361209154|Κομιανάτα|POI|HAMLET|19.9062028|39.5295252|||||49084|||||||||||||POINT(19.9062028 39.5295252)
N1361220857|Γιαννάδες|POI|VILLAGE|19.7624617|39.6320606|||||49100|||||||||||||POINT(19.7624617 39.6320606)
N1361220860|Κρήνη|POI|VILLAGE|19.6860229|39.6850375||Krini|||49083|||||||||||||POINT(19.6860229 39.6850375)
N1363420042|Marketo|SHOP|SUPERMARKET|19.7084194|39.7832216||||||||||||||||||POINT(19.7084194 39.7832216)
N1363420546|Diellas|SHOP|SUPERMARKET|19.7075718|39.7830629||||||||||||||||||POINT(19.7075718 39.7830629)
N1363983493|Αλεπού|POI|VILLAGE|19.8952865|39.6167918|||||49100|||||||||||||POINT(19.8952865 39.6167918)
N1363983929|Πλατυτέρα|POW|CHRISTIAN|19.9103361|39.6220707||||||||||||||||||POINT(19.9103361 39.6220707)
N1363984223|Αλυκές Ποταμού|POI|VILLAGE|19.8764423|39.6343089||||||||||||||||||POINT(19.8764423 39.6343089)
N1365058879|Μπενίτσες|POI|VILLAGE|19.9133239|39.5440169|||||49084|||||||||||||POINT(19.9133239 39.5440169)
N1401213183|Iliada Beach Hotel|ACCOMMODATION|HOTEL|19.8435076|39.6533002||||||||||||||||||POINT(19.8435076 39.6533002)
N1401213187|Trust Rent a Car|TRANSPORT|RENTALCAR|19.8420636|39.6526559||||||||||||||||||POINT(19.8420636 39.6526559)
N1401213192|Tudor Inn|FOOD|CAFE|19.8422753|39.6528457||||||||||||||||||POINT(19.8422753 39.6528457)
N1401213193|Diellas|SHOP|SUPERMARKET|19.841531|39.65173||||||||||||||||||POINT(19.841531 39.65173)
N1401438911|Molfetta Beach Hotel|ACCOMMODATION|HOTEL|19.8439564|39.6532943||||||||||||||||||POINT(19.8439564 39.6532943)
N1406268158|HERMES HOTEL|ACCOMMODATION|HOTEL|19.918923|39.6226708||||||||||||||||||POINT(19.918923 39.6226708)
N1421017191|Gardikiou Grava|TOURIST|ARCHAELOGICAL|19.8817526|39.4792729||||||||||||||||||POINT(19.8817526 39.4792729)
N1421062502|Simos|FOOD|BAR|19.875971|39.4523548||||||||||||||||||POINT(19.875971 39.4523548)
N1421074304|Sirtaki|FOOD|RESTAURANT|19.9564521|39.4543796||||||||||||||||||POINT(19.9564521 39.4543796)
N1421074306|Nikolas|FOOD|RESTAURANT|19.877166|39.4561524||||||||||||||||||POINT(19.877166 39.4561524)
N1421074309|Spyros|FOOD|RESTAURANT|19.8780512|39.4585712||||||||||||||||||POINT(19.8780512 39.4585712)
N1421211653|Κουσπάδες|POI|VILLAGE|19.9780402|39.4537714|||||49080|||||||||||||POINT(19.9780402 39.4537714)
N1421247927|Σπαρτερά|POI|VILLAGE|20.0936148|39.3790563|||||49080|||||||||||||POINT(20.0936148 39.3790563)
N1421875595|Alexandros|SHOP|CONVENIENCE|20.0979011|39.4013815||||||||||||||||||POINT(20.0979011 39.4013815)
N1421875596|Save Way|SHOP|CONVENIENCE|20.0977766|39.402285||||||||||||||||||POINT(20.0977766 39.402285)
N1424312522|Cafe Royal|FOOD|CAFE|19.9170739|39.5915727||||||||||||||||||POINT(19.9170739 39.5915727)
N1424312523|Kanoni|FOOD|CAFE|19.9172691|39.5914687||||||||+30 693 680 5330|||http://www.cafekanoni.gr/|||||||POINT(19.9172691 39.5914687)
N1424565155|Harley Cafe|FOOD|CAFE|19.9412742|39.4286515||||||||||||||||||POINT(19.9412742 39.4286515)
N1424565157|Akvila Travel Company|FOOD|RESTAURANT|19.9416494|39.4281133||||||||||||Mo-Su 10:00-22:00||||||POINT(19.9416494 39.4281133)
N1424565166|Mango|FOOD|BAR|19.9418653|39.4279849||||||||||||||||Frosch Sportreisen||POINT(19.9418653 39.4279849)
N1424565168|Paradise|ACCOMMODATION|HOTEL|19.9453114|39.4307053||||||||||||||||Frosch Sportreisen||POINT(19.9453114 39.4307053)
N1424565169|Pension Dionysos|ACCOMMODATION|HOTEL|19.9450749|39.4308491||||||||||||||||Frosch Sportreisen||POINT(19.9450749 39.4308491)
N1424891742|Κανάλι|POI|VILLAGE|19.8934168|39.6089652|||||49100|||||||||||||POINT(19.8934168 39.6089652)
N1424891743|Agio Eleni|POI|VILLAGE|19.8861233|39.6087651||||||||||||||||||POINT(19.8861233 39.6087651)
N1425859534|Art Cafe|FOOD|CAFE|19.9251749|39.6256013||||||||||||||||||POINT(19.9251749 39.6256013)
N1425859542|Ακταίον|FOOD|CAFE|19.9251481|39.6218537||||||||||||||||||POINT(19.9251481 39.6218537)
N1425859543|Μνημείο Ένωσης των Επτανήσων|TOURIST|MONUMENT|19.9248331|39.6227856||||||||||||||||||POINT(19.9248331 39.6227856)
N1425859544|Johann Matthias von der Schulenburg|TOURIST|MEMORIAL|19.9256483|39.6236304||||||||||||||||||POINT(19.9256483 39.6236304)
N1425859546|Gerald Durrell|TOURIST|MEMORIAL|19.9254217|39.6243039||||||||||||||||||POINT(19.9254217 39.6243039)
N1426472052|Golden View|FOOD|RESTAURANT|19.8623446|39.5520542||||||||||||||||||POINT(19.8623446 39.5520542)
N1426478380|Sunset|FOOD|RESTAURANT|19.8209548|39.5939365||||||||||||||||||POINT(19.8209548 39.5939365)
N1426497819|Akra Levkimnis|TRANSPORT|LIGHTHOUSE|20.071938|39.4585833||||||||||||||||||POINT(20.071938 39.4585833)
N1426497868|Akra Kosteri|TRANSPORT|LIGHTHOUSE|19.7127|39.6707||||||||||||||||||POINT(19.7127 39.6707)
N1427274063|chapel|POW|CHRISTIAN|19.8336771|39.7487987||||||||||||||||||POINT(19.8336771 39.7487987)
N1427293307|Chirs Place|FOOD|RESTAURANT|19.8490224|39.5349874||||||||||||||||||POINT(19.8490224 39.5349874)
N1427299533|Πεντάτι|POI|VILLAGE|19.8481669|39.5338994|||||49084|||||||||||||POINT(19.8481669 39.5338994)
N1428648095|Ο Χρηστάκης|SHOP|CONVENIENCE|20.0827352|39.4188662||||||||||||||||||POINT(20.0827352 39.4188662)
N1431097172|Ταβέρνα Γυαλός|FOOD|RESTAURANT|19.7401625|39.7935158||Taverna Yialos|yialos beach||49081|||2663032244||stefanospettas@Gmail.com|http://www.yialos.com|24/7||||Πεττα Αγγελική||POINT(19.7401625 39.7935158)
N1432037536|House Stefanos|ACCOMMODATION|HOSTEL|19.7400599|39.793939||||||||||||||||||POINT(19.7400599 39.793939)
N1434834263|Stylia|FOOD|FASTFOOD|19.7418465|39.7857894|stylia|stylia||||||||||||||||POINT(19.7418465 39.7857894)
N1434839491|Γυαλός|POI|HAMLET|19.7404252|39.7951955||||||||||||||||||POINT(19.7404252 39.7951955)
N1435390723|Αγιος Αντρεας|POI|HAMLET|19.7516365|39.7978164||||||||||||||||||POINT(19.7516365 39.7978164)
N1437849399|Αστρακερή|POI|VILLAGE|19.755883|39.7947637|||||49081|||||||||||||POINT(19.755883 39.7947637)
N1437852025|Αγνός|POI|HAMLET|19.7606732|39.7928654||||||||||||||||||POINT(19.7606732 39.7928654)
N1447024019|Horizon Hotel|ACCOMMODATION|HOTEL|19.6494013|39.7426051||||||||||||||||||POINT(19.6494013 39.7426051)
N1491152955|bus|TRANSPORT|BUSSTOP|19.9148202|39.6079618||||||||||||||||||POINT(19.9148202 39.6079618)
N1534824385|* KOLOMBOS TRAVEL GROUP *|SHOP|MARKETPLACE|19.9953841|39.4263067||||||||||||||||||POINT(19.9953841 39.4263067)
N1627563544|Τριλογία|FOOD|RESTAURANT|19.9199791|39.7927639||Trilogia|Χωρίς Όνομα||49100|||||||||||||POINT(19.9199791 39.7927639)
N1627594571|Taverna Cavo Barbaro|FOOD|RESTAURANT|19.9388297|39.7786072||Taverna Cavo Barbaro||||||||||||||||POINT(19.9388297 39.7786072)
N1662148470|Rema|SHOP|GIFT|19.8180028|39.7931429||||||||||||||||||POINT(19.8180028 39.7931429)
N1662156473|AVLI RESTAURANT|FOOD|RESTAURANT|19.9225483|39.6108167||||||||||||||||||POINT(19.9225483 39.6108167)
N1662156906|Sconto Market|SHOP|SUPERMARKET|19.9223605|39.6107279||||||||||||||||||POINT(19.9223605 39.6107279)
N1662159455|Corfu Palace|ACCOMMODATION|HOTEL|19.9228246|39.619499||||||||||||||||||POINT(19.9228246 39.619499)
N1690300121|FOROS|FOOD|RESTAURANT|19.8750694|39.7648537||||||||||||||||||POINT(19.8750694 39.7648537)
N1736531465|Emily's Apartments|ACCOMMODATION|HOTEL|19.9227208|39.7839621||||||||||||||||||POINT(19.9227208 39.7839621)
N1736535843|Kassiopi Central Market|SHOP|SUPERMARKET|19.920508|39.7876845|||Archaiou Nomismatokopeiou|20|49081||||||www.emilysapartments.gr|||||||POINT(19.920508 39.7876845)
N1751018587|MARINA GOYVION|TRANSPORT|MARINA|19.8525269|39.6488122||||||||||||||||||POINT(19.8525269 39.6488122)
N1755780297|1ο & 2ο & 3ο Λύκειο|EDUCATION|SCHOOL|19.9145899|39.6218061||||||||||||||||||POINT(19.9145899 39.6218061)
N1770612969|Europa|ACCOMMODATION|HOTEL|19.9088936|39.6244892||||||||||||||||||POINT(19.9088936 39.6244892)
N1770622357|Dionysus camping village|ACCOMMODATION|CAMPING|19.8449296|39.6649902|||||||||||dionysuscamping.gr|||||||POINT(19.8449296 39.6649902)
N1770722018|Ερεικούσσα|POI|VILLAGE|19.5808003|39.8833243|||||49100||||||||||||el.wikipedia.org/wiki/Ερεικούσσα|POINT(19.5808003 39.8833243)
N1771624439|Άγιος Δημήτριος|POI|VILLAGE|19.9493754|39.460422|||||49080|||||||||||||POINT(19.9493754 39.460422)
N1771624441|Άγιος Ματθαίος|POI|VILLAGE|19.8728635|39.4939685|||||49084|||||||||||||POINT(19.8728635 39.4939685)
N1771624442|Άγιος Νικόλαος|POI|VILLAGE|19.9970907|39.4417751|||||49080|||||||||||||POINT(19.9970907 39.4417751)
N1771624445|Βασιλάτικα|POI|VILLAGE|19.9846921|39.4538659|||||49080|||||||||||||POINT(19.9846921 39.4538659)
N1771624446|Βιταλάδες|POI|VILLAGE|20.0217987|39.4106062|||||49080|||||||||||||POINT(20.0217987 39.4106062)
N1771624448|Γαρδένος|POI|HAMLET|20.0228462|39.3955864|||||49080|||||||||||||POINT(20.0228462 39.3955864)
N1771624450|Δαφνάτα|POI|VILLAGE|19.9065883|39.5323939|||||49084|||||||||||||POINT(19.9065883 39.5323939)
N1771624451|Δραγωτινά|POI|VILLAGE|20.0834413|39.383407|||||49080|||||||||||||POINT(20.0834413 39.383407)
N1771624452|Επισκοπιανά|POI|VILLAGE|19.9185613|39.4950428|||||49084|||||||||||||POINT(19.9185613 39.4950428)
N1771624454|Κάτω Σπήλαιο|POI|HAMLET|19.9389294|39.4639568|||||49080|||||||||||||POINT(19.9389294 39.4639568)
N1771624455|Κορακάδες|POI|VILLAGE|19.9893296|39.4564069|||||49080|||||||||||||POINT(19.9893296 39.4564069)
N1771624458|Κορνάτα|POI|VILLAGE|19.9012471|39.5172619|||||49084|||||||||||||POINT(19.9012471 39.5172619)
N1771624462|Κρητικά|POI|VILLAGE|20.052508|39.3934355|||||49080|||||||||||||POINT(20.052508 39.3934355)
N1771624463|Λίνια|POI|HAMLET|19.9428548|39.4411973|||||49080|||||||||||||POINT(19.9428548 39.4411973)
N1771624465|Λουκάτα|POI|HAMLET|19.9019014|39.5379467|||||49084|||||||||||||POINT(19.9019014 39.5379467)
N1771624466|Μακράτα|POI|HAMLET|19.8989539|39.5389313|||||49084|||||||||||||POINT(19.8989539 39.5389313)
N1771624469|Μαραθιάς|POI|VILLAGE|19.9954146|39.4271882|||||49080|||||||||||||POINT(19.9954146 39.4271882)
N1771624472|Μπούκαρης|POI|HAMLET|19.9796946|39.4591744|||||49080|||||||||||||POINT(19.9796946 39.4591744)
N1771624473|Μώλος|POI|HAMLET|20.0459689|39.4383178|||||49080|||||||||||||POINT(20.0459689 39.4383178)
N1771624474|Νεοχωράκι|POI|VILLAGE|19.9798592|39.4406565|||||49080|||||||||||||POINT(19.9798592 39.4406565)
N1771624476|Νεοχώρι|POI|VILLAGE|20.0773524|39.3942732|||||49080|||||||||||||POINT(20.0773524 39.3942732)
N1771624479|Νότος|POI|VILLAGE|20.0037269|39.4472103|||||49080|||||||||||||POINT(20.0037269 39.4472103)
N1771624480|Παλαιοχώρι|POI|VILLAGE|20.067613|39.3895079|||||49080|||||||||||||POINT(20.067613 39.3895079)
N1771624481|Παραμόνας|POI|HAMLET|19.8550343|39.5033193|||||49084|||||||||||||POINT(19.8550343 39.5033193)
N1771624483|Περιβόλι|POI|VILLAGE|20.0148607|39.4202959|||||49080|||||||||||||POINT(20.0148607 39.4202959)
N1771624485|Ποτάμια|POI|HAMLET|19.9872549|39.4140592|||||49080|||||||||||||POINT(19.9872549 39.4140592)
N1771624486|Ρουμανάδες|POI|HAMLET|19.9933899|39.4396076|||||49080|||||||||||||POINT(19.9933899 39.4396076)
N1771624490|Σκάλα|POI|HAMLET|19.8539987|39.4998941|||||49084|||||||||||||POINT(19.8539987 39.4998941)
N1771624491|Στρογγυλή|POI|VILLAGE|19.9104777|39.5086931|||||49084|||||||||||||POINT(19.9104777 39.5086931)
N1771624492|Χαλιδιάτα|POI|HAMLET|19.9030287|39.5354995|||||49084|||||||||||||POINT(19.9030287 39.5354995)
N1771624493|Χαλικούνας|POI|VILLAGE|19.8806714|39.4626207|||||49084|||||||||||||POINT(19.8806714 39.4626207)
N1771624496|Ψαράς|POI|HAMLET|19.9497513|39.4674824|||||49080|||||||||||||POINT(19.9497513 39.4674824)
N1771632242|Άγιοι Δέκα|POI|VILLAGE|19.8868065|39.5546525|||||49084|||||||||||||POINT(19.8868065 39.5546525)
N1771632243|Άνω Γαρούνα|POI|VILLAGE|19.8725113|39.5464984|||||49084|||||||||||||POINT(19.8725113 39.5464984)
N1771632244|Ασπάι|POI|HAMLET|19.8478574|39.551876|||||49084|||||||||||||POINT(19.8478574 39.551876)
N1771632246|Κάτω Γαρούνα|POI|VILLAGE|19.8646829|39.5390644|||||49084|||||||||||||POINT(19.8646829 39.5390644)
N1771649732|Άγιος Προκόπιος|POI|VILLAGE|19.8753214|39.5702425|||||49084|||||||||||||POINT(19.8753214 39.5702425)
N1771649733|Γαστούρι|POI|VILLAGE|19.8988412|39.5614979|||||49084|||||||||||||POINT(19.8988412 39.5614979)
N1771649735|Καρδαμάτικα|POI|HAMLET|19.8677066|39.5588914|||||49084|||||||||||||POINT(19.8677066 39.5588914)
N1771649736|Κουραμάδες|POI|VILLAGE|19.8547568|39.5712311|||||49084|||||||||||||POINT(19.8547568 39.5712311)
N1771649741|Πέραμα|POI|HAMLET|19.9128279|39.5797681|||||49084|||||||||||||POINT(19.9128279 39.5797681)
N1771649745|Πικουλάτικα|POI|HAMLET|19.9024671|39.5797318|||||49084|||||||||||||POINT(19.9024671 39.5797318)
N1771656057|Άγιος Γεώργιος|POI|HAMLET|19.8770168|39.5900426|||||49084|||||||||||||POINT(19.8770168 39.5900426)
N1771656061|Βιρός|POI|VILLAGE|19.8828348|39.5843566|||||49084|||||||||||||POINT(19.8828348 39.5843566)
N1771656065|Εσταυρωμένος|POI|HAMLET|19.8733899|39.5776275|||||49084|||||||||||||POINT(19.8733899 39.5776275)
N1771656070|Καλαφατιώνες|POI|VILLAGE|19.8592842|39.5802582|||||49084|||||||||||||POINT(19.8592842 39.5802582)
N1771656074|Καστανιά|POI|VILLAGE|19.8846595|39.5930518|||||49084|||||||||||||POINT(19.8846595 39.5930518)
N1771656078|Μπαστούνι|POI|HAMLET|19.8803975|39.5960579|||||49084|||||||||||||POINT(19.8803975 39.5960579)
N1771656082|Σουλαίικα|POI|VILLAGE|19.8892945|39.5803945|||||49084|||||||||||||POINT(19.8892945 39.5803945)
N1771656086|Χρυσηίδα|POI|VILLAGE|19.8987813|39.5902274|||||49084|||||||||||||POINT(19.8987813 39.5902274)
N1771670355|Βαρυπατάδες|POI|VILLAGE|19.8485172|39.5845909|||||49084|||||||||||||POINT(19.8485172 39.5845909)
N1771670356|Κομπίτσι|POI|VILLAGE|19.8668966|39.6019499|||||49100|||||||||||||POINT(19.8668966 39.6019499)
N1772947120|Άγιος Βλάσιος|POI|HAMLET|19.8635128|39.6137762|||||49100|||||||||||||POINT(19.8635128 39.6137762)
N1772947121|Άφρα|POI|VILLAGE|19.8579842|39.6220196|||||49100|||||||||||||POINT(19.8579842 39.6220196)
N1772947122|Ύψος|POI|VILLAGE|19.837433|39.6948869|||||49083|||||||||||||POINT(19.837433 39.6948869)
N1772947130|Αγία Τριάδα|POI|HAMLET|19.8436491|39.6072816|||||49100|||||||||||||POINT(19.8436491 39.6072816)
N1772947135|Αγνίτσινη|POI|VILLAGE|19.9335033|39.7590418|||||49100|||||||||||||POINT(19.9335033 39.7590418)
N1772947139|Ανάληψη|POI|HAMLET|19.8235307|39.7010721|||||49083|||||||||||||POINT(19.8235307 39.7010721)
N1772947143|Βάτος|POI|VILLAGE|19.7906667|39.6084354|||||49100|||||||||||||POINT(19.7906667 39.6084354)
N1772947147|Βασιλικά|POI|HAMLET|19.8279614|39.6213574|||||49100|||||||||||||POINT(19.8279614 39.6213574)
N1772947149|Εβροπούλοι|POI|VILLAGE|19.8669215|39.6245515|||||49100|||||||||||||POINT(19.8669215 39.6245515)
N1772947150|Κάτω Άγιος Μάρκος|POI|VILLAGE|19.8393241|39.7032826|||||49083|||||||||||||POINT(19.8393241 39.7032826)
N1772947152|Κανακάδες|POI|VILLAGE|19.7621275|39.6494824|||||49100|||||||||||||POINT(19.7621275 39.6494824)
N1772947156|Κοκκινόγεια|POI|HAMLET|19.8056917|39.6034333|||||49100|||||||||||||POINT(19.8056917 39.6034333)
N1772947157|Κοντογιαλός|POI|HAMLET|19.8214551|39.5850329|||||49084|||||||||||||POINT(19.8214551 39.5850329)
N1772947158|Κουραμαδίτικα|POI|VILLAGE|19.8030827|39.6314781|||||49100|||||||||||||POINT(19.8030827 39.6314781)
N1772947159|Μάρμαρο|POI|VILLAGE|19.7630749|39.6431598|||||49100|||||||||||||POINT(19.7630749 39.6431598)
N1772947160|Μονή Υπεραγίας Θεοτόκου Μυρτιδίων|POW|CHRISTIAN|19.7933155|39.5971502|||||49100|||||||||||||POINT(19.7933155 39.5971502)
N1772947161|Πλακωτό|POI|HAMLET|19.8150853|39.5968183|||||49100|||||||||||||POINT(19.8150853 39.5968183)
N1772947162|Τεμπλόνι|POI|VILLAGE|19.80472|39.6404427|||||49100|||||||||||||POINT(19.80472 39.6404427)
N1772970079|Αφιώνας|POI|VILLAGE|19.660049|39.7247935||Afionas|||49081|||||||||||||POINT(19.660049 39.7247935)
N1772970080|Μαγουλάδες|POI|VILLAGE|19.676643|39.7562737|||||49081|||||||||||||POINT(19.676643 39.7562737)
N1773882023|Άγιος Αθανάσιος|POI|VILLAGE|19.7200443|39.7258574|||||49083|||||||||||||POINT(19.7200443 39.7258574)
N1773882024|Άγιος Βασίλειος|POI|HAMLET|19.8167194|39.6858714|||||49083|||||||||||||POINT(19.8167194 39.6858714)
N1773882025|Αγία Άννα|POI|HAMLET|19.7315671|39.6970992|||||49083|||||||||||||POINT(19.7315671 39.6970992)
N1773882026|Αλειμματάδες|POI|VILLAGE|19.7257639|39.6970806|||||49083|||||||||||||POINT(19.7257639 39.6970806)
N1773882027|Ασπιωτάδες|POI|HAMLET|19.7139038|39.7205367||Aspiotades|||49083|||||||||||||POINT(19.7139038 39.7205367)
N1773882028|Βαλανείο|POI|VILLAGE|19.7560168|39.7337876|||||49081|||||||||||||POINT(19.7560168 39.7337876)
N1773882029|Γαβράδες|POI|HAMLET|19.7076725|39.7347395|||||49081|||||||||||||POINT(19.7076725 39.7347395)
N1773882030|Γαζάτικα|POI|HAMLET|19.8179443|39.6754671|||||49083|||||||||||||POINT(19.8179443 39.6754671)
N1773882031|Γαρδελάδες|POI|VILLAGE|19.744302|39.6796386|||||49083|||||||||||||POINT(19.744302 39.6796386)
N1773882032|Δάφνη|POI|VILLAGE|19.6983745|39.7298557||Dafni|||49081|||||||||||||POINT(19.6983745 39.7298557)
N1773882033|Δουκάδες|POI|VILLAGE|19.7399816|39.6889963||Doukades|||49083|||||||||||||POINT(19.7399816 39.6889963)
